id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
2761,Dutch,1991,PG-13,,Comedy,,,,Peter Faiman,,
2762,Dust Up,2012,Not Rated,92 minutes,Comedy,,,,Ward Roberts,"Amber Benson,Aaron Gaffey,Travis Betz",
2763,The Dust Factory,2004,PG,,,,,,,,
2764,Dust to Glory,2005,PG,,Documentary,,,,,,
2765,Dust,2003,R,,,,,,Milcho Manchevski,,
2766,Dusk,2016,,,Thriller/Suspense,,,,Michael Maney,,
2767,The Cooler,2003,R,101 minutes,Drama,,,,,,"$11,131,455"
2768,Cool World,1992,PG-13,101 minutes,Adventure,,,,Ralph Bakshi,"Kim Basinger,Brad Pitt",
2769,The Cool School,2008,,,Documentary,,,,,,
2770,Cooties,2015,R,88 minutes,Black Comedy,,,,Jonathan Milott,"Elijah Wood,Rainn Wilson,Alison Pill,Jack McBrayer,Leigh Whannell,Nasim Pedrad,Jorge Garcia","$581,011"
2771,Cool Runnings,1993,PG,97 minutes,Adventure,,,,Jon Turteltaub,,"$155,056,263"
2772,Cool It,2010,PG,89 minutes,Documentary,,,,Ondi Timoner,,
2773,Cool Hand Luke,1967,GP,126 minutes,,,,,,Paul Newman,
2774,Cool Crime,1999,,,,,,,,,
2775,Cool Dog,2009,PG,,,,,,,,
2776,Cool Air,2006,PG-13,78 minutes,Horror,,,,,,
2777,Cool As Ice,1991,PG,,,,,,,,
2778,Cool and Crazy,2001,Not Rated,,,,,,,,
2779,The Cookout,2004,PG-13,,Comedy,,,,,Storm P,
2780,The Blue Mauritius,2018,,,Action,,,,,,
2781,Blue Line,2017,R,90 minutes,Action,,,,Jacob Cooney,,
2782,Blue Lagoon: The Awakening,2012,,89 minutes,Adventure,,,,,,
2783,Blue Like Jazz,2012,PG-13,107 minutes,Comedy,,,,Steve Taylor,"Marshall Allman,Claire Holt",
2784,The Blue Lagoon,1980,R,,Drama,,,,Randal Kleiser,,
2785,Blue Juice,1996,R,,Comedy,,,,,Catherine Zeta-Jones,
2786,Blue Jay,2016,Not Rated,80 minutes,Drama,,,,Alexandre Lehmann,,
2787,Blue Hawaii,1961,PG,102 minutes,Musical,,,,,,
2788,Blue in the Face,1995,R,,Drama,,,,Wayne Wang,,
2789,Blue Gap Boy'z,2008,Not Rated,,Adventure,,,,,,
2790,Blue Exorcist: The Movie,2013,,,Action,,,,,,
2791,Blue Jasmine,2013,PG-13,98 minutes,Comedy,,,,Woody Allen,Cate Blanchett,"$102,912,961"
2792,Blue Crush 2,2011,PG-13,,Drama,,,,,,
2793,Mission: Impossible,1996,PG-13,111 minutes,Action,,,,Brian De Palma,Tom Cruise,"$457,697,994"
2794,The Missing,2008,,,,,,,,,"$3,964,925"
2795,Mission Control: The Unsung Heroes of Apollo,2017,Not Rated,101 minutes,Documentary,,,,David Fairhead,,
2796,Missing William,2014,PG,90 minutes,Drama,,,,Kenn MacRae,"Brandon Routh,Courtney Ford",
2797,The Missing,2016,,95 minutes,Action,,,,Xu Jinglei,,"$13,850,000"
2798,The Missing,2003,R,136 minutes,Western,,,,Ron Howard,"Tommy Lee Jones,Cate Blanchett","$38,253,433"
2799,Missing: Sarajin Yeoja,2016,,100 minutes,Drama,,,,,,"$7,963,688"
2800,The Missing Piece: The Truth About Vincenzo Peruggia and the Unthinkable Theft of the Mona Lisa,2011,,129 minutes,Documentary,,,,Joe Medeiros,,
2801,The Missing Person,2009,Not Rated,,,,,,,Michael Shannon,
2802,The Missing Ingredient,2016,,,Documentary,,,,Michael Sparaga,,
2803,Missing in Action 2: The Beginning,1985,,,Action,,,,,Chuck Norris,
2804,Missing in Action,1984,,101 minutes,Action,,,,,Chuck Norris,
2805,Missing Child,2015,R,,Drama,,,,Luke Sabis,,
2806,The Professional,2010,,,Action,,,,,,
2807,La Profecia De Los Justos,2011,R,,,,,,,,
2808,The Producers: The Movie Musical,2005,PG-13,,Musical,,,,,,"$32,952,995"
2809,The Producers,2002,Not Rated,,Comedy,,,,Mel Brooks,,
2810,Prodigy,2009,,,Drama,,,,Chuck Russell,,
2811,"Prodigy, The",2011,PG,,,,,,,Richard Gere,
2812,Prodigal Sons,2010,Not Rated,,,,,,,,
2813,La prochaine fois je viserai le coeur,2016,Not Rated,111 minutes,Drama,,,,Cedric Anger,Guillaume Canet,
2814,Problemos,2017,,85 minutes,Comedy,,,,Eric Judor,,$84
2815,Problem Child 2,1991,PG-13,,Comedy,,,,,,
2816,Pro Lyubov. Tolko Dlya Vzroslykh,2017,,109 minutes,Comedy,,,,,,"$2,124,658"
2817,Problem Child,1990,PG,,Comedy,,,,Dennis Dugan,,"$72,270,895"
2818,Lucky U Ranch,2018,,83 minutes,Drama,,,,Steve Anderson,,
2819,Lucky Stiff,2015,Not Rated,78 minutes,Musical,,,,Christopher Ashley,"Dominic Marsh,Nikki M. James,Pamela Shaw,Dennis Farina,Jason Alexander",
2820,Lucky Them,2014,R,96 minutes,Romantic Comedy,,,,Megan Griffiths,"Toni Collette,Thomas Haden Church","$81,819"
2821,Lucky You,2007,PG-13,124 minutes,Drama,,,,Curtis Hanson,"Eric Bana,Drew Barrymore","$6,521,829"
2822,The Lucky Ones,2008,R,,Drama,,,,,"Rachel McAdams,Tim Robbins,Michael Pe̱a",
2823,Lucky Numbers,2000,R,,Comedy,,,,Nora Ephron,John Travolta,
2824,The Lucky Man,2017,Not Rated,98 minutes,Action,,,,Norman Gregory McGuire,"Jesse James,Mariana Paola Vicente",
2825,Lucky Lady,1975,,,,,,,Stanley Donen,,
2826,Lucky Number Slevin,2006,R,110 minutes,Thriller/Suspense,,,,Paul McGuigan,"Josh Hartnett,Morgan Freeman,Lucy Liu,Bruce Willis","$55,495,466"
2827,The Lucky One,2012,PG-13,81 minutes,Drama,,,,Scott Hicks,"Zac Efron,Taylor Schilling","$96,633,833"
2828,Lucky Elephant,2012,PG,,,,,,,,
2829,Lucky Dog,2014,PG,,Adventure,,,,Michael Feifer,,
2830,Lucky Country,2009,R,,Thriller/Suspense,,,,,,
2831,The Associate,1996,PG-13,,Comedy,,,,Donald Petrie,Whoopi Goldberg,
2832,Assisted Living,2005,Not Rated,,Drama,,,,,,
2833,The Assistants,2010,,99 minutes,Comedy,,,,Steve Morris,"Chris Conner,Aaron Himelstein,Kathleen Early,Michael Grant Terry,Tate Hanyok,Peter Douglas",
