id,title,year,mpaa,runtime,genres,director,stars,gross
24665,Shockwave: Countdown to Disaster,2017,-1,-1,-1,Nick Lyon,-1,-1
24666,Shock to the System,2006,-1,-1,-1,-1,-1,-1
24667,Shock Television,1998,-1,-1,-1,Whitney Ransick,-1,-1
24668,Shocker,1989,R,110 minutes,Horror,Wes Craven,-1,-1
24669,Shock and Awe,2017,R,90 minutes,Drama,Rob Reiner,-1,-1
24670,A Shock to the System,1990,R,-1,Comedy,Jan Egleson,Michael Caine,-1
24671,Shoah,1985,-1,280 minutes,Documentary,Claude Lanzmann,-1,-1
24672,Shivaay,2016,-1,173 minutes,Action,Ajay Devgan,-1,"$258,256"
24673,Shirkers,2017,-1,-1,Documentary,Sandi Tan,-1,-1
24674,Truth or Die,2012,Not Rated,-1,Horror,-1,-1,-1
24675,Truth or Dare,2018,PG-13,-1,Thriller/Suspense,Jeff Wadlow,-1,-1
